Sizes,Sizes Group,Sizes Group Count
one size,700455345798571475,877
54,-8725614115030325282,1
"5XL, 4XL, 3XL, 2XL, XL, L, M, S",2857808831311792174,40
"2XL, XL, L, M, S",1113304725121576563,7
"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36",739583987545114828,14
"48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36",-7829411099899344912,6
"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37",-6085058773725583097,18
"L, M, XS",-1893214461223754711,1
"5XL, 3XL, 2XL, XL, L, M, S",8795773979698433827,1
"4XL, 3XL, 2XL, XL, L, M, S, XS",-6483835963723870644,1
"4XL, 3XL, 2XL, XL, L, M, S",-1996423517076311580,29
"5XL, 4XL, 3XL, 2XL, XL, L, M, S, XS",4739102188312561547,1
"3XL, 2XL, XL, L, M, S",1285580055941491199,10
"3XL, 2XL, XL, L, M, S, XS",8997148825981328039,2
"35, 40, 38, 36, 29, 34, 33, 32, 31, 30, 28",8271138754667530601,2
"46, 45, 44, 43, 42, 41, 40, 39, 38, 37",258164173730187906,4
"35, 42, 41, 40, 39, 38, 37, 36",-6343782152027222952,3
"47, 46, 45, 44, 43, 42, 41, 40, 39",-7795759257685808577,4
"46, 45, 44, 43, 42, 41, 40, 39",-570365678330919438,1
"48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37",-1456368307733958321,3
"A3, A4, A5",7895006930730956144,1
"54, 52, 50, 48, 46, 44, 42, 40, 38",-1232640563786128409,6
"52, 50, 48, 46, 44, 42, 40, 38",2341600182330569773,3
"54, 52, 50, 48, 46, 44, 42, 40, 38, 36",5415916732221551400,1
"48, 46, 44, 42, 40, 38",6104001198729416403,1
"18, 16, 14, 12, 10, 8, 6, 4, 2",6605960339983454621,2
"11, 10, 9",8898365719802515050,2
"XL, L, M, S",8867857036876642248,2
"one size, 3XL, 2XL, XL, L, M, S",-3250627405584563857,1
XL,-3346039941880504145,1
"48, 47, 46, 45, 44, 43, 42, 41, 40",915583855365264858,1
"XL, L, M, S, XS",-5563654314778567286,1
"35, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36",-6195065858061988010,1
"47, 46, 45, 44, 43, 42, 41, 40, 38, 37, 36",8039213409942694211,1
"54, 52, 50, 48, 46, 44, 42, 40",8820707240116798002,2
"35, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36",-7550857773553474261,1
"46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36",8437569071728182828,5
"12, 11, 10, 9",-6325013520993189580,2
"2XL, L",8309461519487475752,1
"XL, L, M",-1840937229705900165,1
"45, 44, 43, 42, 41, 40, 39, 38, 37",-249167813622872857,1
"46, 45, 44, 43, 42, 41, 40, 39, 38",8564759695608590416,1
"46, 45, 44, 43, 42, 39, 38, 37, 36",2304686534830436107,1
"39-42, 43-47",8592918970513855695,3
"45, 44, 43, 42, 41, 40, 39, 38, 37, 36",-4854479021754121983,1
"XL, L",536627888644494243,1
"34-39, 28-34",-5373194163679762993,1
"45, 44, 43, 42, 41, 40",-2701311821695586958,1
"47, 46, 45, 44, 43, 42, 41, 40, 39, 38",7596335471230572247,1
"46, 45, 44, 43, 42, 41, 40, 39, 38, 36",-3787590308001337596,1
